A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-302.1916906,456.3509967,-1.930732474,-1.213631772,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.405376491,-0.631306436,0.241499906,0.151818544
-300.9780588,458.2817291,-2.016169245,-1.248553091,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.403748459,-0.633977371,0.25218651,0.156187006
-299.7295058,460.2978984,-2.104107769,-1.276957119,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.402073581,-0.636766498,0.263186037,0.159740191
-298.4525486,462.4020061,-2.194319072,-1.298760518,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.400360601,-0.639677276,0.274469849,0.162467674
-297.1537881,464.5963252,-2.286571412,-1.313887989,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.398618372,-0.642712851,0.286008957,0.164360036
-295.8399001,466.8828966,-2.380630557,-1.322272369,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.396855851,-0.645876047,0.297774065,0.165408875
-294.5176278,469.2635272,-2.476260077,-1.323854707,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.395082082,-0.649169361,0.309735598,0.165606817
-293.1937731,471.7397873,-2.571889597,-1.325437045,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.393306191,-0.652594968,0.321697131,0.165804758
-291.868336,474.3116769,-2.667519117,-1.327019383,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.391528177,-0.656152866,0.333658664,0.1660027
-290.5413166,476.979196,-2.763148637,-1.328601721,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.389748041,-0.659843056,0.345620196,0.166200642
-289.2127149,479.7423446,-2.858778158,-1.330184059,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.387965782,-0.663665538,0.357581729,0.166398583
-287.8825308,482.6011228,-2.954407678,-1.331766398,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.3861814,-0.667620312,0.369543262,0.166596525
-286.5507644,485.5555304,-3.050037198,-1.333348736,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.384394895,-0.671707378,0.381504795,0.166794467
-285.2174157,488.6055676,-3.145666718,-1.334931074,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.382606268,-0.675926736,0.393466328,0.166992408
-283.8824846,491.7512344,-3.241296238,-1.336513412,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.380815519,-0.680278385,0.405427861,0.16719035
-282.5459712,494.9925306,-3.336925758,-1.33809575,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.379022646,-0.684762327,0.417389394,0.167388291
-281.2078755,498.3294564,-3.432555278,-1.339678088,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.377227651,-0.68937856,0.429350927,0.167586233
-279.8681974,501.7620116,-3.526614424,-1.348062467,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.375430534,-0.694127086,0.441116035,0.168635072
-278.5201349,505.2886261,-3.618866763,-1.363189939,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.373622169,-0.69900573,0.452655143,0.170527434
